index,value0,value1
411,500.5230102539,547.7510375977
412,499.8430175781,547.0910644531
413,499.1630249023,546.4310913086
414,498.4830322266,545.7711181641
415,497.8030395508,545.1111450195
416,497.1230468750,544.4511718750
417,496.4430541992,543.7911987305
418,495.7630615234,543.1312255859
419,495.0830688477,542.4712524414
420,494.4030761719,541.8112792969
421,493.7230834961,541.1513061523
422,493.0430908203,540.4913330078
423,492.3630981445,539.8313598633
424,491.6831054688,539.1713867188
425,491.0031127930,538.5114135742
426,490.3231201172,537.8514404297
427,489.6431274414,537.1914672852
428,488.9631347656,536.5314941406
429,488.2831420898,535.8715209961
430,487.6031494141,535.2115478516
431,486.9231567383,534.5515747070
432,486.2431640625,533.8916015625
433,485.5631713867,533.2316284180
434,484.8831787109,532.5716552734
435,484.2031860352,531.9116821289
436,483.5231933594,531.2517089844
437,482.8432006836,530.5917358398
438,482.1632080078,529.9317626953
439,481.4832153320,529.2717895508
440,480.8032226562,528.6118164062
441,480.1232299805,527.9518432617
442,479.4432373047,527.2918701172
443,478.7632446289,526.6318969727
444,478.0832519531,525.9719238281
445,477.4032592773,525.3119506836
446,476.7232666016,524.6519775391
447,476.0432739258,523.9920043945
448,475.3632812500,523.3320312500
449,474.6832885742,522.6720581055
450,474.0032958984,522.0120849609
451,473.3233032227,521.3521118164
452,472.6433105469,520.6921386719
453,471.9633178711,520.0321655273
454,471.2833251953,519.3721923828
455,470.6033325195,518.7122192383
456,469.9233398438,518.0522460938
457,469.2433471680,517.3922729492
458,468.5633544922,516.7322998047
459,467.8833618164,516.0723266602
460,467.2033691406,515.4123535156
461,466.5233764648,514.7523803711
462,465.8433837891,514.0924072266
463,465.1633911133,513.4324340820
464,464.4833984375,512.7724609375
465,463.8034057617,512.1124877930
466,463.1234130859,511.4524841309
467,462.4434204102,510.7924804688
468,461.7634277344,510.1324768066
469,461.0834350586,509.4724731445
470,460.4034423828,508.8124694824
471,459.7234497070,508.1524658203
472,459.0434570312,507.4924621582
473,458.3634643555,506.8324584961
474,457.6834716797,506.1724548340
475,457.0034790039,505.5124511719
476,456.3234863281,504.8524475098
477,455.6434936523,504.1924438477
478,454.9635009766,503.5324401855
479,454.2835083008,502.8724365234
480,453.6035156250,502.2124328613
481,452.9235229492,501.5524291992
482,452.2435302734,500.8924255371
483,451.5635375977,500.2324218750
484,450.8835449219,499.5724182129
485,450.2035522461,498.9124145508
486,449.5235595703,498.2524108887
487,448.8435668945,497.5924072266
488,448.1635742188,496.9324035645
489,447.4835815430,496.2723999023
490,446.8035888672,495.6123962402
491,446.1235961914,494.9523925781
492,445.4436035156,494.2923889160
493,444.7636108398,493.6323852539
494,444.0836181641,492.9723815918
495,443.4036254883,492.3123779297
496,442.7236328125,491.6523742676
497,442.0436401367,490.9923706055
498,441.3636474609,490.3323669434
499,440.6836547852,489.6723632812
500,440.0036621094,489.0123596191
501,439.3236694336,488.3523559570
502,438.6436767578,487.6923522949
503,437.9636840820,487.0323486328
504,437.2836914062,486.3723449707
505,436.6036987305,485.7123413086
506,435.9237060547,485.0523376465
507,435.2437133789,484.3923339844
508,434.5637207031,483.7323303223
509,433.8837280273,483.0723266602
510,433.2037353516,482.4123229980
511,432.5237426758,481.7523193359
512,431.8437500000,481.0923156738
