index,value0,value1
246,846.7784423828,866.8206176758
247,846.6630249023,866.7488403320
248,846.5476074219,866.6770629883
249,846.4321899414,866.6052856445
250,846.3167724609,866.5335083008
251,846.2013549805,866.4617309570
252,846.0859375000,866.3899536133
253,845.9705200195,866.3181762695
254,845.8551025391,866.2463989258
255,845.7396850586,866.1746215820
256,845.6242675781,866.0993041992
257,845.5088500977,866.0239868164
258,845.3934326172,865.9486694336
259,845.2780151367,865.8733520508
260,845.1625976562,865.7980346680
261,845.0471801758,865.7227172852
262,844.9317626953,865.6473999023
263,844.8163452148,865.5720825195
264,844.7009277344,865.4967651367
265,844.5797119141,865.4214477539
266,844.4584960938,865.3461303711
267,844.3372802734,865.2708129883
268,844.2160644531,865.1954956055
269,844.0948486328,865.1201782227
270,843.9736328125,865.0448608398
271,843.8524169922,864.9695434570
272,843.7312011719,864.8942260742
273,843.6099853516,864.8189086914
274,843.4887695312,864.7435913086
275,843.3675537109,864.6682739258
276,843.2463378906,864.5929565430
277,843.1251220703,864.5176391602
278,843.0039062500,864.4423217773
279,842.8826904297,864.3670043945
280,842.7614746094,864.2916870117
281,842.6402587891,864.2163696289
282,842.5190429688,864.1410522461
283,842.4036254883,864.0657348633
284,842.2882080078,863.9904174805
285,842.1727905273,863.9186401367
286,842.0573730469,863.8468627930
287,841.9419555664,863.7750854492
288,841.8265380859,863.7033081055
289,841.7111206055,863.6315307617
290,841.5957031250,863.5597534180
291,841.4802856445,863.4879760742
292,841.3648681641,863.4161987305
293,841.2494506836,863.3444213867
294,841.1340332031,863.2726440430
295,841.0186157227,863.2008666992
296,840.9031982422,863.1290893555
297,840.7877807617,863.0573120117
298,840.6723632812,862.9855346680
299,840.5569458008,862.9137573242
300,840.4415283203,862.8419799805
301,840.3261108398,862.7702026367
302,840.2106933594,862.6984252930
303,840.0952758789,862.6266479492
304,839.9798583984,862.5548706055
305,839.8644409180,862.4830932617
306,839.7490234375,862.4113159180
307,839.6336059570,862.3395385742
308,839.5181884766,862.2677612305
309,839.4027709961,862.1959838867
310,839.2873535156,862.1242065430
311,839.1719360352,862.0524291992
312,839.0565185547,861.9806518555
313,838.9411010742,861.9088745117
314,838.8256835938,861.8370971680
315,838.7102661133,861.7653198242
316,838.5948486328,861.6935424805
317,838.4794311523,861.6217651367
318,838.3640136719,861.5499877930
319,838.2543945312,861.4782104492
320,838.1447753906,861.4064331055
321,838.0351562500,861.3346557617
322,837.9255371094,861.2628784180
323,837.8159179688,861.1911010742
324,837.7062988281,861.1193237305
325,837.5966796875,861.0475463867
326,837.4870605469,860.9757690430
327,837.3774414062,860.9039916992
328,837.2678222656,860.8322143555
329,837.1582031250,860.7604370117
330,837.0485839844,860.6886596680
331,836.9389648438,860.6168823242
332,836.8293457031,860.5451049805
333,836.7197265625,860.4733276367
334,836.6101074219,860.4015502930
335,836.5004882812,860.3297729492
336,836.3850708008,860.2579956055
337,836.2696533203,860.1862182617
