index,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21
3441,374.6247559,371.7163391,498.8220215,318.6853333,133.4278107,373.6903992,374.6247559,30.18272018,nan,319.3143921,338.8460083,279.4041138,nan,nan,14.87025452,-49.40819931,118.2353821,113.9153824,nan,-99.06874084,54.6492157,436.2285767
3442,374.3293457,371.5714417,498.7246094,318.3460083,133.0731049,373.4641724,374.3293457,30.08696938,nan,319.1143799,338.6459961,279.3041077,nan,nan,14.40964794,-49.77819824,118.3102188,113.9902191,nan,-99.06874084,54.27921677,436.0226746
3443,374.0339355,371.3440857,498.625824,318.0066833,132.718399,373.2379456,374.0339355,29.99121857,nan,318.9143677,338.4459839,279.2041016,nan,nan,13.94904137,-50.14819717,118.3850555,114.0650558,nan,-99.06874084,53.90921783,435.8167725
3444,373.7385254,371.1908264,498.4762573,317.6673584,132.3636932,373.0117188,373.7385254,29.89546776,nan,318.7143555,338.2459717,279.1040955,nan,nan,13.94904137,-50.51819611,118.4598923,114.1398926,nan,-99.06874084,53.5392189,435.6108704
3445,373.4431152,371.0123291,498.3320923,317.3280334,132.0484009,372.7854919,373.4431152,29.79971695,nan,318.5143433,338.0459595,279.0040894,nan,nan,13.94904137,-50.88819504,118.534729,114.2147293,nan,-99.06874084,53.16921997,435.4049683
3446,373.1477051,370.8505249,498.2174683,316.9887085,131.7331085,372.5592651,373.1477051,29.70396805,nan,318.3143311,337.8459473,278.9040833,nan,nan,13.94904137,-51.25819397,118.6095657,114.289566,nan,-99.06874084,52.79922104,435.1990662
3447,373.024231,370.6824036,498.1104126,316.629425,131.4178162,372.3330383,373.024231,29.60821915,nan,318.1143188,337.6459351,278.8040771,nan,nan,13.77631474,-51.6281929,118.6844025,114.3644028,nan,-99.06874084,52.42922211,434.9931641
3448,372.7290955,370.5061646,497.963562,316.2701416,131.1025238,372.1068115,372.7290955,29.51247025,nan,317.9143066,337.4459229,278.704071,nan,nan,13.6035881,-51.99819183,118.7592392,114.4392395,nan,-99.06874084,52.05922318,434.787262
3449,372.7127075,370.3470764,497.8369751,315.9108582,130.7872314,371.8805847,372.7127075,29.19330597,nan,317.7142944,337.2459106,278.6040649,nan,nan,13.43086147,-52.36819077,118.8340759,114.5140762,nan,-99.06874084,51.68922424,434.5813599
3450,372.6963196,370.1496582,497.6911926,315.5515747,130.4325256,371.6543579,372.6963196,28.87414169,nan,317.5142822,337.0458984,278.5040588,nan,nan,13.25813484,-52.7381897,118.9089127,114.588913,nan,-99.06874084,51.31922531,434.3754578
3451,372.65448,369.9813538,497.5742493,315.1922913,130.0778198,371.4281311,372.65448,28.55497742,nan,317.31427,336.8458862,278.4040527,nan,nan,13.08540726,-53.10818863,118.9837494,114.6637497,nan,-99.06874084,50.94922638,434.1695557
3452,372.638092,369.8101196,497.4234314,314.8330078,129.723114,371.2019043,372.638092,28.23581314,nan,317.1142578,336.645874,278.3040466,nan,nan,12.91267967,-53.47818756,119.0585861,114.7385864,nan,-99.06874084,50.57922745,433.9636536
